#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.000000000000000E+00  0.231430001720617E+00  0.204577858576771E-15  0.432096094959720E+01  0.381961254586854E-14
     0.100000000000000E-01  0.231429521456045E+00  0.498518986530534E-04  0.432096971599661E+01  0.930773839955802E-03
     0.200000000000000E-01  0.231428080666864E+00  0.997079996435819E-04  0.432099601525095E+01  0.186164906137186E-02
     0.300000000000000E-01  0.231425679366790E+00  0.149572507879014E-03  0.432103984752656E+01  0.279272710102044E-02
     0.400000000000000E-01  0.231422317578911E+00  0.199449633403620E-03  0.432110121309602E+01  0.372410950624098E-02
     0.500000000000000E-01  0.231417995336089E+00  0.249343593962087E-03  0.432118011233033E+01  0.465589799013315E-02
     0.600000000000000E-01  0.231412712681467E+00  0.299258617556580E-03  0.432127654568880E+01  0.558819448662930E-02
     0.700000000000000E-01  0.231406469669154E+00  0.349198944995207E-03  0.432139051370539E+01  0.652110120540579E-02
     0.800000000000000E-01  0.231399266365043E+00  0.399168832429388E-03  0.432152201697263E+01  0.745472068658836E-02
     0.900000000000000E-01  0.231391102847830E+00  0.449172553877440E-03  0.432167105612125E+01  0.838915585519628E-02
     0.100000000000000E+00  0.231381979210128E+00  0.499214403731414E-03  0.432183763179812E+01  0.932451007527576E-02
     0.110000000000000E+00  0.231371895559786E+00  0.549298699243913E-03  0.432202174464015E+01  0.102608872036547E-01
     0.120000000000000E+00  0.231360852021381E+00  0.599429782991219E-03  0.432222339524456E+01  0.111983916432482E-01
     0.130000000000000E+00  0.231348848737832E+00  0.649612025308727E-03  0.432244258413686E+01  0.121371283958443E-01
     0.140000000000000E+00  0.231335885872241E+00  0.699849826694121E-03  0.432267931173431E+01  0.130772031142728E-01
     0.150000000000000E+00  0.231321963609868E+00  0.750147620173290E-03  0.432293357830669E+01  0.140187221538683E-01
     0.160000000000000E+00  0.231307082160323E+00  0.800509873623357E-03  0.432320538393273E+01  0.149617926231117E-01
     0.170000000000000E+00  0.231291241759925E+00  0.850941092046605E-03  0.432349472845319E+01  0.159065224333330E-01
     0.180000000000000E+00  0.231274442674230E+00  0.901445819788374E-03  0.432380161142068E+01  0.168530203473438E-01
     0.190000000000000E+00  0.231256685200827E+00  0.952028642691259E-03  0.432412603204401E+01  0.178013960268340E-01
     0.200000000000000E+00  0.231237969672248E+00  0.100269419017715E-02  0.432446798913028E+01  0.187517600783898E-01
     0.210000000000000E+00  0.231218296459159E+00  0.105344713724778E-02  0.432482748102144E+01  0.197042240979286E-01
     0.220000000000000E+00  0.231197665973706E+00  0.110429220639356E-02  0.432520450552765E+01  0.206589007133650E-01
     0.230000000000000E+00  0.231176078673138E+00  0.115523416939943E-02  0.432559905985516E+01  0.216159036252715E-01
     0.240000000000000E+00  0.231153535063584E+00  0.120627784903540E-02  0.432601114053106E+01  0.225753476453110E-01
     0.250000000000000E+00  0.231130035704131E+00  0.125742812061859E-02  0.432644074332199E+01  0.235373487321529E-01
     0.260000000000000E+00  0.231105581211069E+00  0.130868991343205E-02  0.432688786314956E+01  0.245020240246114E-01
     0.270000000000000E+00  0.231080172262422E+00  0.136006821198479E-02  0.432735249399995E+01  0.254694918716725E-01
     0.280000000000000E+00  0.231053809602702E+00  0.141156805709600E-02  0.432783462882906E+01  0.264398718590857E-01
     0.290000000000000E+00  0.231026494047887E+00  0.146319454678532E-02  0.432833425946313E+01  0.274132848321620E-01
     0.300000000000000E+00  0.230998226490666E+00  0.151495283694956E-02  0.432885137649397E+01  0.283898529143795E-01
     0.310000000000000E+00  0.230969007905953E+00  0.156684814180520E-02  0.432938596916884E+01  0.293696995213827E-01
     0.320000000000000E+00  0.230938839356568E+00  0.161888573407441E-02  0.432993802527673E+01  0.303529493699582E-01
     0.330000000000000E+00  0.230907721999263E+00  0.167107094489134E-02  0.433050753102793E+01  0.313397284814796E-01
     0.340000000000000E+00  0.230875657090920E+00  0.172340916340388E-02  0.433109447092993E+01  0.323301641793663E-01
     0.350000000000000E+00  0.230842645994992E+00  0.177590583604528E-02  0.433169882765832E+01  0.333243850800245E-01
     0.360000000000000E+00  0.230808690188224E+00  0.182856646544837E-02  0.433232058192220E+01  0.343225210767166E-01
     0.370000000000000E+00  0.230773791267522E+00  0.188139660897469E-02  0.433295971232628E+01  0.353247033158304E-01
     0.380000000000000E+00  0.230737950957101E+00  0.193440187682950E-02  0.433361619522747E+01  0.363310641649293E-01
     0.390000000000000E+00  0.230701171115772E+00  0.198758792973315E-02  0.433429000458837E+01  0.373417371720223E-01
     0.400000000000000E+00  0.230663453744474E+00  0.204096047611859E-02  0.433498111182600E+01  0.383568570154102E-01
     0.410000000000000E+00  0.230624800993886E+00  0.209452526882464E-02  0.433568948565838E+01  0.393765594435333E-01
     0.420000000000000E+00  0.230585215172267E+00  0.214828810125444E-02  0.433641509194672E+01  0.404009812041487E-01
     0.430000000000000E+00  0.230544698753338E+00  0.220225480296852E-02  0.433715789353640E+01  0.414302599622672E-01
     0.440000000000000E+00  0.230503254384308E+00  0.225643123468264E-02  0.433791785009487E+01  0.424645342061937E-01
     0.450000000000000E+00  0.230460884893905E+00  0.231082328264124E-02  0.433869491794937E+01  0.435039431411111E-01
     0.460000000000000E+00  0.230417593300480E+00  0.236543685233807E-02  0.433948904992276E+01  0.445486265695816E-01
     0.470000000000000E+00  0.230373382820045E+00  0.242027786155747E-02  0.434030019517059E+01  0.455987247584529E-01
     0.480000000000000E+00  0.230328256874297E+00  0.247535223271083E-02  0.434112829901814E+01  0.466543782916019E-01
     0.490000000000000E+00  0.230282219098506E+00  0.253066588444510E-02  0.434197330279991E+01  0.477157279080540E-01
     0.500000000000000E+00  0.230235273349306E+00  0.258622472250228E-02  0.434283514370084E+01  0.487829143249943E-01
     0.510000000000000E+00  0.230187423712213E+00  0.264203462981081E-02  0.434371375460269E+01  0.498560780453139E-01
     0.520000000000000E+00  0.230138674508976E+00  0.269810145579264E-02  0.434460906393346E+01  0.509353591492577E-01
     0.530000000000000E+00  0.230089030304584E+00  0.275443100487210E-02  0.434552099552348E+01  0.520208970699202E-01
     0.540000000000000E+00  0.230038495913923E+00  0.281102902417471E-02  0.434644946846833E+01  0.531128303522947E-01
     0.550000000000000E+00  0.229987076408045E+00  0.286790119040698E-02  0.434739439699908E+01  0.542112963956360E-01
     0.560000000000000E+00  0.229934777119929E+00  0.292505309590966E-02  0.434835569036272E+01  0.553164311789940E-01
     0.570000000000000E+00  0.229881603649747E+00  0.298249023387874E-02  0.434933325271212E+01  0.564283689697160E-01
     0.580000000000000E+00  0.229827561869526E+00  0.304021798275010E-02  0.435032698300812E+01  0.575472420148315E-01
     0.590000000000000E+00  0.229772657927165E+00  0.309824158974374E-02  0.435133677493422E+01  0.586731802151848E-01
     0.600000000000000E+00  0.229716898249708E+00  0.315656615356474E-02  0.435236251682624E+01  0.598063107822545E-01
     0.610000000000000E+00  0.229660289545866E+00  0.321519660625765E-02  0.435340409161697E+01  0.609467578775289E-01
     0.620000000000000E+00  0.229602838807643E+00  0.327413769421090E-02  0.435446137679884E+01  0.620946422343972E-01
     0.630000000000000E+00  0.229544553311047E+00  0.333339395830758E-02  0.435553424440504E+01  0.632500807624383E-01
     0.640000000000000E+00  0.229485440615748E+00  0.339296971321942E-02  0.435662256101186E+01  0.644131861340718E-01
     0.650000000000000E+00  0.229425508563616E+00  0.345286902584155E-02  0.435772618776381E+01  0.655840663535288E-01
     0.660000000000000E+00  0.229364765276043E+00  0.351309569286804E-02  0.435884498042344E+01  0.667628243081524E-01
     0.670000000000000E+00  0.229303219149876E+00  0.357365321751277E-02  0.435997878944937E+01  0.679495573021991E-01
     0.680000000000000E+00  0.229240878851871E+00  0.363454478538727E-02  0.436112746010448E+01  0.691443565733940E-01
     0.690000000000001E+00  0.229177753311506E+00  0.369577323955802E-02  0.436229083259752E+01  0.703473067927739E-01
     0.700000000000001E+00  0.229113851711950E+00  0.375734105482093E-02  0.436346874226236E+01  0.715584855486722E-01
     0.710000000000001E+00  0.229049183479025E+00  0.381925031125071E-02  0.436466101977792E+01  0.727779628160830E-01
     0.720000000000001E+00  0.228983758267942E+00  0.388150266710965E-02  0.436586749143367E+01  0.740058004132233E-01
     0.730000000000001E+00  0.228917585947599E+00  0.394409933123212E-02  0.436708797944447E+01  0.752420514477274E-01
     0.740000000000001E+00  0.228850676582178E+00  0.400704103504058E-02  0.436832230232032E+01  0.764867597557440E-01
     0.750000000000001E+00  0.228783040409805E+00  0.407032800439419E-02  0.436957027529565E+01  0.777399593380964E-01
     0.760000000000001E+00  0.228714687818059E+00  0.413395993152260E-02  0.437083171082228E+01  0.790016737986731E-01
