
./benchmark_images
Nodes;Tasks;omp;cgsolve;solve_linter;ortho;solve_linter;ch_psi;incdrhoscf;phqscf
1;1;8;186.52;292.65;8.01;292.65;112.24;11.22;293.90
1;2;8;105.30;167.88;4.87;167.88;63.14;6.59;168.66
1;3;8;83.49;131.08;4.01;131.08;50.02;5.16;131.62
1;4;8;66.94;107.31;3.06;107.31;40.30;4.42;107.83

./benchmark_mixed
Nodes;Tasks;omp;cgsolve;solve_linter;ortho;solve_linter;ch_psi;incdrhoscf;phqscf
1;4;8;52.13;101.02;2.61;101.02;31.12;3.36;101.65
2;5;8;45.00;70.27;2.09;70.27;27.13;2.74;70.54
3;10;8;22.03;42.29;1.06;42.29;13.25;1.37;42.48

./benchmark_pools
Nodes;Tasks;omp;cgsolve;solve_linter;ortho;solve_linter;ch_psi;incdrhoscf;phqscf
1;1;8;187.29;295.59;8.69;295.59;112.27;11.58;296.90
1;2;8;92.66;178.11;4.76;178.11;55.74;5.89;179.16
1;3;8;64.87;140.55;3.28;140.55;38.79;4.33;141.51
1;4;8;45.75;117.65;2.18;117.65;27.41;2.90;118.58

